PassengerId,Sex,Age,SibSp,Parch,family_size,Fare,Embarked,Survived
2,0,38.0,1,0,1,71.2833,1,1
4,0,35.0,1,0,1,53.1,0,1
7,1,54.0,0,0,0,51.8625,0,0
11,0,4.0,1,1,2,16.7,0,1
12,0,58.0,0,0,0,26.55,0,1
22,1,34.0,0,0,0,13.0,0,1
24,1,28.0,0,0,0,35.5,0,1
28,1,19.0,3,2,5,263.0,0,0
53,0,49.0,1,0,1,76.7292,1,1
55,1,65.0,0,1,1,61.9792,1,0
63,1,45.0,1,0,1,83.475,0,0
67,0,29.0,0,0,0,10.5,0,1
76,1,25.0,0,0,0,7.65,0,0
89,0,23.0,3,2,5,263.0,0,1
93,1,46.0,1,0,1,61.175,0,0
97,1,71.0,0,0,0,34.6542,1,0
98,1,23.0,0,1,1,63.3583,1,1
103,1,21.0,0,1,1,77.2875,0,0
111,1,47.0,0,0,0,52.0,0,0
119,1,24.0,0,1,1,247.5208,1,0
124,0,32.5,0,0,0,13.0,0,1
125,1,54.0,0,1,1,77.2875,0,0
137,0,19.0,0,2,2,26.2833,0,1
138,1,37.0,1,0,1,53.1,0,0
140,1,24.0,0,0,0,79.2,1,0
149,1,36.5,0,2,2,26.0,0,0
152,0,22.0,1,0,1,66.6,0,1
171,1,61.0,0,0,0,33.5,0,0
175,1,56.0,0,0,0,30.6958,1,0
178,0,50.0,0,0,0,28.7125,1,0
184,1,1.0,2,1,3,39.0,0,1
194,1,3.0,1,1,2,26.0,0,1
195,0,44.0,0,0,0,27.7208,1,1
196,0,58.0,0,0,0,146.5208,1,1
206,0,2.0,0,1,1,10.4625,0,0
210,1,40.0,0,0,0,31.0,1,1
216,0,31.0,1,0,1,113.275,1,1
219,0,32.0,0,0,0,76.2917,1,1
225,1,38.0,1,0,1,90.0,0,1
231,0,35.0,1,0,1,83.475,0,1
246,1,44.0,2,0,2,90.0,2,0
249,1,37.0,1,1,2,52.5542,0,1
252,0,29.0,1,1,2,10.4625,0,0
253,1,62.0,0,0,0,26.55,0,0
258,0,30.0,0,0,0,86.5,0,1
263,1,52.0,1,1,2,79.65,0,0
264,1,40.0,0,0,0,0.0,0,0
269,0,58.0,0,1,1,153.4625,0,1
270,0,35.0,0,0,0,135.6333,0,1
274,1,37.0,0,1,1,29.7,1,0
276,0,63.0,1,0,1,77.9583,0,1
292,0,19.0,1,0,1,91.0792,1,1
293,1,36.0,0,0,0,12.875,1,0
298,0,2.0,1,2,3,151.55,0,0
300,0,50.0,0,1,1,247.5208,1,1
306,1,0.92,1,2,3,151.55,0,1
308,0,17.0,1,0,1,108.9,1,1
310,0,30.0,0,0,0,56.9292,1,1
311,0,24.0,0,0,0,83.1583,1,1
312,0,18.0,2,2,4,262.375,1,1
319,0,31.0,0,2,2,164.8667,0,1
320,0,40.0,1,1,2,134.5,1,1
326,0,36.0,0,0,0,135.6333,1,1
328,0,36.0,0,0,0,13.0,0,1
330,0,16.0,0,1,1,57.9792,1,1
332,1,45.5,0,0,0,28.5,0,0
333,1,38.0,0,1,1,153.4625,0,0
337,1,29.0,1,0,1,66.6,0,0
338,0,41.0,0,0,0,134.5,1,1
340,1,45.0,0,0,0,35.5,0,0
341,1,2.0,1,1,2,26.0,0,1
342,0,24.0,3,2,5,263.0,0,1
346,0,24.0,0,0,0,13.0,0,1
357,0,22.0,0,1,1,55.0,0,1
367,0,60.0,1,0,1,75.25,1,1
370,0,24.0,0,0,0,69.3,1,1
371,1,25.0,1,0,1,55.4417,1,1
378,1,27.0,0,2,2,211.5,1,0
391,1,36.0,1,2,3,120.0,0,1
394,0,23.0,1,0,1,113.275,1,1
395,0,24.0,0,2,2,16.7,0,1
413,0,33.0,1,0,1,90.0,2,1
430,1,32.0,0,0,0,8.05,0,1
431,1,28.0,0,0,0,26.55,0,1
435,1,50.0,1,0,1,55.9,0,0
436,0,14.0,1,2,3,120.0,0,1
439,1,64.0,1,4,5,263.0,0,0
446,1,4.0,0,2,2,81.8583,0,1
450,1,52.0,0,0,0,30.5,0,1
453,1,30.0,0,0,0,27.75,1,0
454,1,49.0,1,0,1,89.1042,1,1
457,1,65.0,0,0,0,26.55,0,0
461,1,48.0,0,0,0,26.55,0,1
463,1,47.0,0,0,0,38.5,0,0
474,0,23.0,0,0,0,13.7917,1,1
485,1,25.0,1,0,1,91.0792,1,1
487,0,35.0,1,0,1,90.0,0,1
488,1,58.0,0,0,0,29.7,1,0
493,1,55.0,0,0,0,30.5,0,0
497,0,54.0,1,0,1,78.2667,1,1
499,0,25.0,1,2,3,151.55,0,0
505,0,16.0,0,0,0,86.5,0,1
506,1,18.0,1,0,1,108.9,1,0
513,1,36.0,0,0,0,26.2875,0,1
516,1,47.0,0,0,0,34.0208,0,0
517,0,34.0,0,0,0,10.5,0,1
521,0,30.0,0,0,0,93.5,0,1
524,0,44.0,0,1,1,57.9792,1,1
537,1,45.0,0,0,0,26.55,0,0
540,0,22.0,0,2,2,49.5,1,1
541,0,36.0,0,2,2,71.0,0,1
545,1,50.0,1,0,1,106.425,1,0
551,1,17.0,0,2,2,110.8833,1,1
557,0,48.0,1,0,1,39.6,1,1
559,0,39.0,1,1,2,79.65,0,1
572,0,53.0,2,0,2,51.4792,0,1
573,1,36.0,0,0,0,26.3875,0,1
578,0,39.0,1,0,1,55.9,0,1
582,0,39.0,1,1,2,110.8833,1,1
584,1,36.0,0,0,0,40.125,1,0
586,0,18.0,0,2,2,79.65,0,1
588,1,60.0,1,1,2,79.2,1,1
592,0,52.0,1,0,1,78.2667,1,1
600,1,49.0,1,0,1,56.9292,1,1
610,0,40.0,0,0,0,153.4625,0,1
619,0,4.0,2,1,3,39.0,0,1
622,1,42.0,1,0,1,52.5542,0,1
626,1,61.0,0,0,0,32.3208,0,0
628,0,21.0,0,0,0,77.9583,0,1
631,1,80.0,0,0,0,30.0,0,1
633,1,32.0,0,0,0,30.5,1,1
642,0,24.0,0,0,0,69.3,1,1
646,1,48.0,1,0,1,76.7292,1,1
648,1,56.0,0,0,0,35.5,1,1
660,1,58.0,0,2,2,113.275,1,0
663,1,47.0,0,0,0,25.5875,0,0
672,1,31.0,1,0,1,52.0,0,0
680,1,36.0,0,1,1,512.3292,1,1
682,1,27.0,0,0,0,76.7292,1,1
690,0,15.0,0,1,1,211.3375,0,1
691,1,31.0,1,0,1,57.0,0,1
699,1,49.0,1,1,2,110.8833,1,0
700,1,42.0,0,0,0,7.65,0,0
701,0,18.0,1,0,1,227.525,1,1
702,1,35.0,0,0,0,26.2875,0,1
708,1,42.0,0,0,0,26.2875,0,1
711,0,24.0,0,0,0,49.5042,1,1
713,1,48.0,1,0,1,52.0,0,1
716,1,19.0,0,0,0,7.65,0,0
717,0,38.0,0,0,0,227.525,1,1
718,0,27.0,0,0,0,10.5,0,1
725,1,27.0,1,0,1,53.1,0,1
731,0,29.0,0,0,0,211.3375,0,1
738,1,35.0,0,0,0,512.3292,1,1
742,1,36.0,1,0,1,78.85,0,0
743,0,21.0,2,2,4,262.375,1,1
746,1,70.0,1,1,2,71.0,0,0
749,1,19.0,1,0,1,53.1,0,0
752,1,6.0,0,1,1,12.475,0,1
760,0,33.0,0,0,0,86.5,0,1
764,0,36.0,1,2,3,120.0,0,1
766,0,51.0,1,0,1,77.9583,0,1
773,0,57.0,0,0,0,10.5,0,0
780,0,43.0,0,1,1,211.3375,0,1
782,0,17.0,1,0,1,57.0,0,1
783,1,29.0,0,0,0,30.0,0,0
790,1,46.0,0,0,0,79.2,1,0
797,0,49.0,0,0,0,25.9292,0,1
803,1,11.0,1,2,3,120.0,0,1
807,1,39.0,0,0,0,0.0,0,0
810,0,33.0,1,0,1,53.1,0,1
821,0,52.0,1,1,2,93.5,0,1
824,0,27.0,0,1,1,12.475,0,1
836,0,39.0,1,1,2,83.1583,1,1
854,0,16.0,0,1,1,39.4,0,1
858,1,51.0,0,0,0,26.55,0,1
863,0,48.0,0,0,0,25.9292,0,1
868,1,31.0,0,0,0,50.4958,0,0
872,0,47.0,1,1,2,52.5542,0,1
873,1,33.0,0,0,0,5.0,0,0
880,0,56.0,0,1,1,83.1583,1,1
888,0,19.0,0,0,0,30.0,0,1
890,1,26.0,0,0,0,30.0,1,1
